season,week,game_id,team,off_epa,def_epa,pass_epa,rush_epa,success_rate,pace,offensive_plays,defensive_plays,pregame_off_epa,pregame_def_epa,pregame_pass_epa,pregame_rush_epa,pregame_success_rate,pregame_pace,games_played_before,current_season_weight
2016,1,2016_01_DET_IND,DET,0.40135070434747033,-0.2768180501396461,0.5402340221081037,0.1598144995463688,0.6190476190476191,63,63,69,0.114843887639303,0.0072640523076644755,0.17513280153858762,0.03774551681090045,0.49419092768234485,61.92996076668693,0,0.0
2016,1,2016_01_DET_IND,IND,0.2768180501396461,-0.40135070434747033,0.34700540077484454,0.09211449583649244,0.5072463768115942,69,69,63,-0.11942116957299823,0.049362468832403444,-0.09114527255263366,-0.15405382685537602,0.3836105742977238,62.16424334053386,0,0.0
2016,1,2016_01_GB_JAX,GB,0.1516399484195524,0.022275759974842966,0.21193990031649187,0.06621501656555484,0.4482758620689655,58,58,67,-0.18559923768128733,0.07719827725956929,-0.22736891952916222,-0.1168342375141538,0.36694140730837044,69.712908762425,0,0.0
2016,1,2016_01_GB_JAX,JAX,-0.022275759974842966,-0.1516399484195524,0.10322458449474928,-0.23311633868375792,0.40298507462686567,67,67,58,-0.15901849882897723,-0.06398996586113204,-0.10297573803285416,-0.27559780223515984,0.39432563425713496,58.34728145969673,0,0.0
2016,1,2016_01_LA_SF,LA,-0.46859109381379527,3.447671157405957e-05,-0.5565477407307716,-0.3206640058170623,0.2711864406779661,59,59,76,-0.05073327256406763,0.06049898808386642,0.02189138100875529,-0.0924134796493619,0.40084701652095667,58.296480552450156,0,0.0
2016,1,2016_01_LA_SF,SF,-3.447671157405957e-05,0.46859109381379527,-0.17987374950067272,0.15348685371814433,0.3684210526315789,76,76,59,-0.12141867557613262,-0.004639468547510997,-0.15071451964745783,-0.04704832096085721,0.3834668210091684,64.00834443364178,0,0.0
2016,1,2016_01_MIA_SEA,MIA,-0.1850392512795972,0.15476022098222617,-0.1609772988038575,-0.22594457048835465,0.2962962962962963,54,54,78,-0.0188875160532301,-0.01887597309564034,0.09326396247014064,-0.18013902319795913,0.37740833602629104,63.76056275900517,0,0.0
2016,1,2016_01_MIA_SEA,SEA,-0.15476022098222617,0.1850392512795972,-0.037356276004629686,-0.32352839188752114,0.48717948717948717,78,78,54,0.1758798517504901,0.10839446556955815,0.4798670515986564,-0.20487975790049645,0.4847251125163444,65.78997124866763,0,0.0
2016,1,2016_01_MIN_TEN,MIN,0.026927695891083975,0.2723532707019727,0.2939210390104197,-0.29939750125477077,0.4,60,60,66,0.03158056739749896,0.11671701992589698,-0.011970722337562675,0.06996413332624263,0.3798695411219546,57.273043261132294,0,0.0
2016,1,2016_01_MIN_TEN,TEN,-0.2723532707019727,-0.026927695891083975,0.017255935363365067,-0.8515716828326483,0.5,66,66,60,-0.19131963945218922,-0.058794697395065196,-0.22397844464012198,-0.26028569255772893,0.3828129915855131,59.933064150322544,0,0.0
2016,1,2016_01_NE_ARI,ARI,0.17622554731680887,-0.11660427756316182,0.20746621175292695,0.11045572745129711,0.5423728813559322,59,59,65,0.03581715883165443,0.0904732128120493,0.11520327183849853,-0.04898513754737789,0.4616390451245916,62.46511671402747,0,0.0
2016,1,2016_01_NE_ARI,NE,0.11660427756316182,-0.17622554731680887,0.38049984280074145,-0.1912738818806811,0.4461538461538462,65,65,59,-0.030402185621565297,0.074169422623329,0.04602240836982001,-0.15409232574637244,0.36519002270305556,59.85021271498185,0,0.0
